timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1710698490,2024-03-18 01:01:30.000,0,6,8.5,5.7,0,Monday
1710702090,2024-03-18 02:01:30.000,0,4,3.7,2.5,0,Monday
1710705690,2024-03-18 03:01:30.000,0,8,21.9,11.6,0,Monday
1710709290,2024-03-18 04:01:30.000,0,7,12.6,17.2,0,Monday
1710712890,2024-03-18 05:01:30.001,0,5,13.6,7.8,0,Monday
1710719190,2024-03-18 06:46:30.000,37,313,255.3,1480.7,0,Monday
1710722790,2024-03-18 07:46:30.000,60,570,410.4,2940.6,0,Monday
1710723690,2024-03-18 08:01:30.000,61,538,378.9,2721.9,0,Monday
1710727290,2024-03-18 09:01:30.000,48,326,248.5,1640.6,3,Monday
1710730890,2024-03-18 10:01:30.001,35,217,188.8,1002.2,9,Monday
1710734490,2024-03-18 11:01:30.103,35,304,231.3,1379.2,13,Monday
1710738090,2024-03-18 12:01:30.000,34,345,241.6,1636.7,13,Monday
1710744390,2024-03-18 13:46:30.000,31,294,171.4,1169.8,17,Monday
1710747990,2024-03-18 14:46:30.000,35,355,231.6,1497.9,20,Monday
1710751590,2024-03-18 15:46:30.000,47,451,334.3,2049.0,20,Monday
1710755190,2024-03-18 16:46:30.000,68,912,633.3,4565.0,21,Monday
1710757890,2024-03-18 17:31:30.000,83,1266,827.9,6738.1,22,Monday
1710759690,2024-03-18 18:01:30.001,76,898,604.7,4778.1,20,Monday
1710763290,2024-03-18 19:01:30.000,31,105,93.1,484.0,12,Monday
1710766890,2024-03-18 20:01:30.000,22,54,41.5,209.2,8,Monday
1710770490,2024-03-18 21:01:30.000,16,44,25.4,171.2,8,Monday
1710774090,2024-03-18 22:01:30.001,10,37,34.7,174.7,7,Monday
1710777690,2024-03-18 23:01:30.000,3,21,29.2,87.4,0,Monday
