timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1710830790,2024-03-19 13:46:30.000,37,317,228.6,1356.4,12,Tuesday
1710833490,2024-03-19 14:31:30.001,39,327,244.4,1510.0,15,Tuesday
1710837990,2024-03-19 15:46:30.000,47,390,313.7,1818.6,16,Tuesday
1710841590,2024-03-19 16:46:30.000,69,855,603.2,4246.3,25,Tuesday
1710845190,2024-03-19 17:46:30.000,86,1217,773.3,6653.4,34,Tuesday
1710846090,2024-03-19 18:01:30.000,82,961,632.4,5242.3,30,Tuesday
1710849690,2024-03-19 19:01:30.000,35,126,127.9,589.6,10,Tuesday
1710853290,2024-03-19 20:01:30.000,29,94,69.4,394.7,9,Tuesday
1710856890,2024-03-19 21:01:30.000,23,69,52.3,325.0,6,Tuesday
1710860490,2024-03-19 22:01:30.000,16,55,56.2,285.8,5,Tuesday
1710864090,2024-03-19 23:01:30.000,5,36,42.9,180.1,3,Tuesday
