timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711413990,2024-03-26 07:46:30.000,54,512,350.0,2319.7,53,Tuesday
1711414890,2024-03-26 08:01:30.000,56,501,347.1,2370.8,54,Tuesday
1711418490,2024-03-26 09:01:30.000,49,340,259.3,1578.8,47,Tuesday
1711422090,2024-03-26 10:01:30.000,43,314,270.6,1363.8,40,Tuesday
1711428390,2024-03-26 11:46:30.000,46,411,336.4,1790.8,41,Tuesday
1711429290,2024-03-26 12:01:30.000,45,438,362.9,1946.1,40,Tuesday
1711435590,2024-03-26 13:46:30.001,44,425,293.0,1653.2,37,Tuesday
1711439190,2024-03-26 14:46:30.000,48,481,337.6,2044.0,39,Tuesday
1711442790,2024-03-26 15:46:30.001,53,507,411.2,2318.2,47,Tuesday
1711446390,2024-03-26 16:46:30.000,72,978,668.5,4682.7,69,Tuesday
1711449090,2024-03-26 17:31:30.001,86,1294,823.9,6698.6,86,Tuesday
1711450890,2024-03-26 18:01:30.000,76,831,535.5,4222.4,82,Tuesday
1711457190,2024-03-26 19:46:30.001,33,150,100.2,566.1,35,Tuesday
1711458990,2024-03-26 20:16:30.000,34,163,128.0,683.6,29,Tuesday
1711461690,2024-03-26 21:01:30.000,33,124,99.3,610.5,23,Tuesday
1711465290,2024-03-26 22:01:30.000,27,131,96.5,595.3,16,Tuesday
1711468890,2024-03-26 23:01:30.000,13,50,54.7,221.5,5,Tuesday
