timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711818090,2024-03-31 00:01:30.000,12,69,48.5,297.5,16,Sunday
1711821690,2024-03-31 01:01:30.000,0,13,5.6,34.1,0,Sunday
1711825290,2024-03-31 02:01:30.000,0,7,10.4,10.8,0,Sunday
1711828890,2024-03-31 03:01:30.001,0,6,3.4,9.2,0,Sunday
1711832490,2024-03-31 04:01:30.000,0,5,7.8,8.3,0,Sunday
1711836090,2024-03-31 05:01:30.001,0,4,5.3,4.8,0,Sunday
1711839690,2024-03-31 06:01:30.000,0,4,3.7,9.8,0,Sunday
1711843290,2024-03-31 07:01:30.000,0,5,2.8,18.3,0,Sunday
1711846890,2024-03-31 08:01:30.000,0,10,6.3,42.8,0,Sunday
1711853190,2024-03-31 09:46:30.000,3,54,21.0,221.2,0,Sunday
1711856790,2024-03-31 10:46:30.000,9,107,54.3,536.1,6,Sunday
1711860390,2024-03-31 11:46:30.000,13,139,70.4,636.8,8,Sunday
1711862190,2024-03-31 12:16:30.001,15,135,62.3,589.9,9,Sunday
1711867590,2024-03-31 13:46:30.000,22,229,124.3,1002.1,16,Sunday
1711871190,2024-03-31 14:46:30.000,32,301,248.7,1642.2,18,Sunday
1711873890,2024-03-31 15:31:30.000,38,344,229.9,1947.9,19,Sunday
1711878390,2024-03-31 16:46:30.000,50,905,554.3,4858.0,32,Sunday
1711880190,2024-03-31 17:16:30.000,55,1057,629.1,5825.0,39,Sunday
1711882890,2024-03-31 18:01:30.001,37,365,191.2,1829.7,26,Sunday
1711889190,2024-03-31 19:46:30.000,25,152,74.9,605.1,20,Sunday
1711892790,2024-03-31 20:46:30.000,31,298,171.3,1430.6,24,Sunday
1711894590,2024-03-31 21:16:30.000,34,346,207.6,1726.9,26,Sunday
1711897290,2024-03-31 22:01:30.000,32,300,194.6,1620.7,23,Sunday
1711900890,2024-03-31 23:01:30.000,20,105,71.2,548.7,12,Sunday
