timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1710905490,2024-03-20 10:31:30.000,37,287,230.1,1220.6,40,Wednesday
1710909990,2024-03-20 11:46:30.000,38,352,274.9,1564.9,38,Wednesday
1710910890,2024-03-20 12:01:30.000,38,342,280.3,1468.2,35,Wednesday
1710917190,2024-03-20 13:46:30.000,37,297,196.8,1267.6,31,Wednesday
1710920790,2024-03-20 14:46:30.000,38,336,253.9,1489.5,34,Wednesday
1710924390,2024-03-20 15:46:30.000,44,382,299.6,1856.0,44,Wednesday
1710927990,2024-03-20 16:46:30.000,66,828,604.5,4066.4,72,Wednesday
1710931590,2024-03-20 17:46:30.000,82,1192,760.7,6165.9,86,Wednesday
1710932490,2024-03-20 18:01:30.001,76,879,583.7,4518.3,79,Wednesday
1710936090,2024-03-20 19:01:30.044,31,109,80.6,448.2,36,Wednesday
1710939690,2024-03-20 20:01:30.000,28,96,72.0,385.7,23,Wednesday
1710943290,2024-03-20 21:01:30.000,22,82,54.4,354.2,15,Wednesday
1710946890,2024-03-20 22:01:30.000,16,61,47.8,329.7,9,Wednesday
1710950490,2024-03-20 23:01:30.001,6,32,40.4,151.5,1,Wednesday
