timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1712854890,2024-04-12 00:01:30.000,0,16,34.8,16.9,2,Friday
1712858490,2024-04-12 01:01:30.000,0,14,27.1,15.7,0,Friday
1712862090,2024-04-12 02:01:30.000,0,3,1.9,5.3,0,Friday
1712865690,2024-04-12 03:01:30.000,0,5,15.4,8.7,0,Friday
1712869290,2024-04-12 04:01:30.000,0,2,1.4,1.2,0,Friday
1712872890,2024-04-12 05:01:30.000,0,4,3.5,2.5,0,Friday
1712876490,2024-04-12 06:01:30.000,0,7,2.6,11.2,18,Friday
1712880090,2024-04-12 07:01:30.000,0,6,13.3,36.3,32,Friday
1712883690,2024-04-12 08:01:30.000,0,10,22.1,55.2,32,Friday
1712887290,2024-04-12 09:01:30.000,0,11,3.7,21.9,26,Friday
1712893590,2024-04-12 10:46:30.000,3,28,15.8,86.0,34,Friday
1712894490,2024-04-12 11:01:30.001,4,25,15.6,72.0,44,Friday
1712898090,2024-04-12 12:01:30.000,2,24,9.6,72.2,43,Friday
1712904390,2024-04-12 13:46:30.000,10,76,49.5,252.1,44,Friday
1712907990,2024-04-12 14:46:30.000,20,113,130.3,463.5,58,Friday
1712909790,2024-04-12 15:16:30.001,25,131,197.6,517.2,63,Friday
1712912490,2024-04-12 16:01:30.000,21,83,87.9,391.4,77,Friday
1712916990,2024-04-12 17:16:30.000,20,94,99.5,461.0,87,Friday
1712919690,2024-04-12 18:01:30.000,20,58,64.2,297.0,80,Friday
1712924190,2024-04-12 19:16:30.000,21,65,82.2,289.4,45,Friday
1712926890,2024-04-12 20:01:30.000,18,68,51.5,236.4,46,Friday
1712930490,2024-04-12 21:01:30.001,13,42,39.2,172.1,45,Friday
1712934090,2024-04-12 22:01:30.000,6,17,28.1,39.6,43,Friday
1712937690,2024-04-12 23:01:30.000,0,15,40.9,28.6,31,Friday
