timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1713027690,2024-04-14 00:01:30.000,0,8,30.8,39.3,8,Sunday
1713031290,2024-04-14 01:01:30.001,0,12,22.5,21.7,0,Sunday
1713034891,2024-04-14 02:01:31.884,0,4,4.4,3.8,0,Sunday
1713038490,2024-04-14 03:01:30.001,0,8,14.0,10.9,0,Sunday
1713042090,2024-04-14 04:01:30.000,0,2,2.2,2.2,0,Sunday
1713045690,2024-04-14 05:01:30.000,0,1,4.9,3.3,0,Sunday
1713049290,2024-04-14 06:01:30.000,0,3,2.4,7.1,0,Sunday
1713052890,2024-04-14 07:01:30.000,0,2,1.6,7.0,0,Sunday
1713056490,2024-04-14 08:01:30.001,0,10,13.2,51.5,0,Sunday
1713060090,2024-04-14 09:01:30.000,0,18,10.7,52.1,0,Sunday
1713066390,2024-04-14 10:46:30.000,5,54,30.8,196.7,5,Sunday
1713069090,2024-04-14 11:31:30.001,8,72,40.4,292.5,7,Sunday
1713073590,2024-04-14 12:46:30.000,9,70,56.2,301.7,8,Sunday
1713077190,2024-04-14 13:46:30.000,14,102,74.2,434.8,13,Sunday
1713078090,2024-04-14 14:01:30.001,15,107,75.8,502.8,16,Sunday
1713081693,2024-04-14 15:01:33.233,15,100,81.5,505.5,17,Sunday
1713087990,2024-04-14 16:46:30.000,17,136,128.1,590.8,26,Sunday
1713091590,2024-04-14 17:46:30.000,29,171,201.7,796.2,33,Sunday
1713092490,2024-04-14 18:01:30.000,29,149,192.5,746.7,25,Sunday
1713096090,2024-04-14 19:01:30.001,24,108,107.6,441.1,23,Sunday
1713099690,2024-04-14 20:01:30.000,20,103,63.8,389.5,26,Sunday
1713103290,2024-04-14 21:01:30.000,15,56,48.8,213.4,27,Sunday
1713106890,2024-04-14 22:01:30.000,8,25,36.8,88.0,26,Sunday
1713110490,2024-04-14 23:01:30.001,0,16,25.4,54.3,15,Sunday
