timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711158390,2024-03-23 08:46:30.001,4,35,19.6,194.1,8,Saturday
1711161990,2024-03-23 09:46:30.055,13,127,71.8,518.9,16,Saturday
1711165590,2024-03-23 10:46:30.000,23,252,156.4,1135.1,21,Saturday
1711169190,2024-03-23 11:46:30.000,30,334,209.5,1621.9,26,Saturday
1711170090,2024-03-23 12:01:30.000,31,304,194.8,1510.6,26,Saturday
1711176390,2024-03-23 13:46:30.000,36,382,232.3,1696.8,29,Saturday
1711179990,2024-03-23 14:46:30.000,44,487,318.8,2323.6,35,Saturday
1711182690,2024-03-23 15:31:30.000,48,541,365.2,2786.7,44,Saturday
1711187190,2024-03-23 16:46:30.000,64,1102,686.4,5964.7,52,Saturday
1711189890,2024-03-23 17:31:30.000,72,1346,826.5,8045.1,55,Saturday
1711191690,2024-03-23 18:01:30.000,60,835,473.9,4546.7,44,Saturday
1711197990,2024-03-23 19:46:30.001,29,148,74.3,521.6,22,Saturday
1711201590,2024-03-23 20:46:30.000,32,215,110.7,817.1,22,Saturday
1711205190,2024-03-23 21:46:30.001,38,332,209.4,1611.7,23,Saturday
1711206090,2024-03-23 22:01:30.000,40,316,208.8,1539.0,22,Saturday
1711209690,2024-03-23 23:01:30.000,34,174,148.8,933.0,15,Saturday
