timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1712799090,2024-04-11 08:31:30.000,1,10,22.5,65.7,39,Thursday
1712803590,2024-04-11 09:46:30.000,7,42,24.1,157.2,35,Thursday
1712807190,2024-04-11 10:46:30.000,17,149,123.9,834.3,42,Thursday
1712810790,2024-04-11 11:46:30.000,26,239,200.6,1515.8,47,Thursday
1712811690,2024-04-11 12:01:30.000,26,243,197.5,1421.4,48,Thursday
1712815290,2024-04-11 13:01:30.000,18,114,77.4,609.3,52,Thursday
1712818890,2024-04-11 14:01:30.001,18,177,104.7,918.9,59,Thursday
1712822490,2024-04-11 15:01:30.000,18,173,103.7,881.6,69,Thursday
1712828790,2024-04-11 16:46:30.000,20,183,118.5,835.5,88,Thursday
1712832390,2024-04-11 17:46:30.000,27,222,158.7,1167.9,99,Thursday
1712833290,2024-04-11 18:01:30.000,27,209,167.6,1074.3,89,Thursday
1712838690,2024-04-11 19:31:30.000,23,142,94.4,601.9,48,Thursday
1712840490,2024-04-11 20:01:30.001,22,128,80.4,581.9,49,Thursday
1712844090,2024-04-11 21:01:30.001,16,75,54.9,316.3,46,Thursday
1712847690,2024-04-11 22:01:30.000,8,26,11.2,94.1,38,Thursday
1712851290,2024-04-11 23:01:30.000,0,11,9.5,20.8,22,Thursday
