timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711490490,2024-03-27 05:01:30.000,0,15,26.4,18.3,0,Wednesday
1711496790,2024-03-27 06:46:30.000,27,209,183.6,853.8,28,Wednesday
1711500390,2024-03-27 07:46:30.000,50,454,321.4,2069.9,51,Wednesday
1711501290,2024-03-27 08:01:30.001,52,442,309.5,2147.3,51,Wednesday
1711504890,2024-03-27 09:01:30.000,47,313,245.6,1376.8,41,Wednesday
1711511190,2024-03-27 10:46:30.000,44,387,302.4,1797.2,37,Wednesday
1711513890,2024-03-27 11:31:30.000,47,440,352.1,2179.4,38,Wednesday
1711515690,2024-03-27 12:01:30.000,48,487,384.7,2363.6,38,Wednesday
1711521990,2024-03-27 13:46:30.000,49,492,356.3,2310.3,37,Wednesday
1711525590,2024-03-27 14:46:30.000,53,528,407.3,2531.4,38,Wednesday
1711529190,2024-03-27 15:46:30.001,61,611,491.0,3153.5,44,Wednesday
1711532790,2024-03-27 16:46:30.001,81,1131,798.0,5997.4,66,Wednesday
1711535490,2024-03-27 17:31:30.000,96,1440,964.3,8079.1,82,Wednesday
1711537290,2024-03-27 18:01:30.000,88,1025,679.7,5715.7,76,Wednesday
1711543590,2024-03-27 19:46:30.001,42,278,213.8,1199.0,31,Wednesday
1711546290,2024-03-27 20:31:30.000,44,313,218.6,1411.2,28,Wednesday
1711548090,2024-03-27 21:01:30.000,43,273,193.0,1380.2,22,Wednesday
1711551690,2024-03-27 22:01:30.000,38,214,156.6,1116.0,16,Wednesday
1711555290,2024-03-27 23:01:30.001,22,101,89.0,468.0,6,Wednesday
