timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1713114090,2024-04-15 00:01:30.000,0,11,14.0,19.6,0,Monday
1713117690,2024-04-15 01:01:30.000,0,3,18.9,13.6,0,Monday
1713121290,2024-04-15 02:01:30.000,0,5,34.4,27.7,0,Monday
1713124890,2024-04-15 03:01:30.001,0,2,23.6,17.6,0,Monday
1713128490,2024-04-15 04:01:30.000,0,6,19.5,32.7,0,Monday
1713132090,2024-04-15 05:01:30.000,0,6,22.3,23.3,0,Monday
1713138390,2024-04-15 06:46:30.000,1,37,28.3,155.9,0,Monday
1713139290,2024-04-15 07:01:30.001,2,34,23.7,133.9,0,Monday
1713142890,2024-04-15 08:01:30.001,0,19,20.5,52.1,0,Monday
1713149190,2024-04-15 09:46:30.001,3,23,9.7,71.5,1,Monday
1713152790,2024-04-15 10:46:30.000,8,50,21.9,166.4,5,Monday
1713156390,2024-04-15 11:46:30.001,12,69,37.1,313.2,7,Monday
1713157290,2024-04-15 12:01:30.000,12,82,45.0,337.9,8,Monday
1713163590,2024-04-15 13:46:30.001,15,112,56.1,435.8,11,Monday
1713167190,2024-04-15 14:46:30.000,17,106,58.9,453.1,13,Monday
1713168090,2024-04-15 15:01:30.000,17,115,67.8,476.2,13,Monday
1713174390,2024-04-15 16:46:30.000,20,169,81.4,684.5,21,Monday
1713177990,2024-04-15 17:46:30.000,27,256,133.2,1087.5,29,Monday
1713178890,2024-04-15 18:01:30.000,29,239,136.3,1070.1,24,Monday
1713182490,2024-04-15 19:01:30.000,26,133,81.0,555.1,19,Monday
1713186090,2024-04-15 20:01:30.000,22,135,92.6,560.9,20,Monday
1713189690,2024-04-15 21:01:30.001,15,52,31.8,226.4,19,Monday
1713193290,2024-04-15 22:01:30.015,7,19,45.5,95.2,17,Monday
1713196890,2024-04-15 23:01:30.000,0,16,21.2,25.9,8,Monday
