timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711645290,2024-03-29 00:01:30.000,19,77,74.3,453.2,0,Friday
1711648890,2024-03-29 01:01:30.000,0,31,45.1,171.5,0,Friday
1711652490,2024-03-29 02:01:30.000,0,22,36.8,69.1,0,Friday
1711656090,2024-03-29 03:01:30.000,0,10,43.1,42.6,0,Friday
1711659690,2024-03-29 04:01:30.000,0,17,28.8,22.9,0,Friday
1711663290,2024-03-29 05:01:30.000,0,8,16.1,10.2,7,Friday
1711666890,2024-03-29 06:01:30.001,0,9,9.4,16.9,43,Friday
1711670490,2024-03-29 07:01:30.000,0,7,6.7,11.5,68,Friday
1711674090,2024-03-29 08:01:30.000,0,6,1.6,17.3,70,Friday
1711680390,2024-03-29 09:46:30.000,6,54,29.1,224.6,65,Friday
1711683990,2024-03-29 10:46:30.000,12,133,62.2,556.0,58,Friday
1711685790,2024-03-29 11:16:30.000,14,136,64.4,556.6,56,Friday
1711688490,2024-03-29 12:01:30.000,12,90,42.1,416.5,48,Friday
1711694790,2024-03-29 13:46:30.000,27,367,217.2,1794.4,47,Friday
1711698390,2024-03-29 14:46:30.000,43,574,387.5,3308.3,54,Friday
1711700190,2024-03-29 15:16:30.000,46,578,400.1,3405.3,56,Friday
1711705590,2024-03-29 16:46:30.000,57,1160,715.3,6737.9,80,Friday
1711708290,2024-03-29 17:31:30.000,69,1489,918.7,9728.5,97,Friday
1711710090,2024-03-29 18:01:30.000,58,876,499.9,5263.1,87,Friday
1711716390,2024-03-29 19:46:30.000,27,180,91.3,765.6,43,Friday
1711719990,2024-03-29 20:46:30.000,31,285,143.4,1284.4,45,Friday
1711722690,2024-03-29 21:31:30.000,36,374,216.8,1786.8,44,Friday
1711724490,2024-03-29 22:01:30.000,36,343,214.8,1718.2,37,Friday
1711728090,2024-03-29 23:01:30.000,30,176,120.0,1039.1,23,Friday
