timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1713200490,2024-04-16 00:01:30.001,0,15,35.1,39.4,0,Tuesday
1713204090,2024-04-16 01:01:30.000,0,10,22.9,11.6,0,Tuesday
1713207690,2024-04-16 02:01:30.000,0,7,10.7,12.4,0,Tuesday
1713211290,2024-04-16 03:01:30.000,0,9,10.2,12.8,0,Tuesday
1713214890,2024-04-16 04:01:30.001,0,17,41.9,25.3,0,Tuesday
1713218490,2024-04-16 05:01:30.000,0,9,22.1,22.5,0,Tuesday
1713224790,2024-04-16 06:46:30.001,13,99,118.0,444.5,0,Tuesday
1713228390,2024-04-16 07:46:30.000,24,124,95.9,556.0,0,Tuesday
1713229290,2024-04-16 08:01:30.000,24,131,96.5,524.1,0,Tuesday
1713232890,2024-04-16 09:01:30.000,16,72,49.7,228.8,0,Tuesday
1713239190,2024-04-16 10:46:30.000,15,59,41.9,203.7,0,Tuesday
1713240090,2024-04-16 11:01:30.001,15,65,42.5,216.6,1,Tuesday
1713243690,2024-04-16 12:01:30.000,15,69,39.0,216.3,2,Tuesday
1713249990,2024-04-16 13:46:30.000,14,66,28.6,222.5,5,Tuesday
1713253590,2024-04-16 14:46:30.000,15,64,24.7,231.6,8,Tuesday
1713254490,2024-04-16 15:01:30.000,14,74,31.7,250.1,13,Tuesday
1713260790,2024-04-16 16:46:30.000,21,143,76.2,509.0,16,Tuesday
1713264390,2024-04-16 17:46:30.000,39,414,260.7,1702.9,16,Tuesday
1713266190,2024-04-16 18:16:30.000,47,370,274.8,1596.1,12,Tuesday
1713268890,2024-04-16 19:01:30.001,43,288,219.4,1299.4,14,Tuesday
1713272490,2024-04-16 20:01:30.000,30,173,114.2,739.1,23,Tuesday
1713276090,2024-04-16 21:01:30.000,15,53,32.1,191.1,23,Tuesday
1713279690,2024-04-16 22:01:30.000,6,14,19.6,41.2,18,Tuesday
1713283290,2024-04-16 23:01:30.000,0,12,10.4,16.3,9,Tuesday
