timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1712941290,2024-04-13 00:01:30.000,0,13,27.8,33.8,13,Saturday
1712944890,2024-04-13 01:01:30.000,0,7,9.8,7.7,1,Saturday
1712948490,2024-04-13 02:01:30.000,0,7,18.7,11.4,0,Saturday
1712952090,2024-04-13 03:01:30.000,0,7,3.8,6.4,0,Saturday
1712955690,2024-04-13 04:01:30.000,0,2,0.4,3.2,0,Saturday
1712959290,2024-04-13 05:01:30.000,0,1,1.1,1.9,0,Saturday
1712962890,2024-04-13 06:01:30.000,0,5,3.7,8.8,0,Saturday
1712966490,2024-04-13 07:01:30.000,0,5,1.8,5.7,1,Saturday
1712970090,2024-04-13 08:01:30.001,0,10,2.3,22.5,2,Saturday
1712973690,2024-04-13 09:01:30.001,0,12,4.9,47.8,9,Saturday
1712979990,2024-04-13 10:46:30.000,6,64,35.2,323.1,17,Saturday
1712982690,2024-04-13 11:31:30.001,9,79,48.4,396.2,24,Saturday
1712984490,2024-04-13 12:01:30.000,9,62,37.1,341.5,25,Saturday
1712990790,2024-04-13 13:46:30.000,10,63,30.7,260.7,31,Saturday
1712993490,2024-04-13 14:31:30.001,12,80,38.9,320.4,37,Saturday
1712995290,2024-04-13 15:01:30.000,12,79,42.5,375.0,39,Saturday
1713001590,2024-04-13 16:46:30.000,16,118,64.4,483.0,52,Saturday
1713004290,2024-04-13 17:31:30.001,19,135,88.4,549.6,59,Saturday
1713006090,2024-04-13 18:01:30.000,21,118,73.9,548.3,48,Saturday
1713010590,2024-04-13 19:16:30.000,24,127,90.6,556.0,30,Saturday
1713013290,2024-04-13 20:01:30.000,22,126,87.0,521.4,34,Saturday
1713016890,2024-04-13 21:01:30.001,18,84,81.0,373.2,37,Saturday
1713021390,2024-04-13 22:16:30.000,15,66,115.5,203.4,36,Saturday
1713024090,2024-04-13 23:01:30.001,10,24,68.0,75.2,27,Saturday
