timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711558890,2024-03-28 00:01:30.001,2,29,52.2,113.7,0,Thursday
1711562490,2024-03-28 01:01:30.000,0,20,34.4,65.7,0,Thursday
1711566090,2024-03-28 02:01:30.000,0,22,66.4,98.4,0,Thursday
1711569690,2024-03-28 03:01:30.000,0,18,29.9,38.1,0,Thursday
1711573290,2024-03-28 04:01:30.000,0,12,57.8,30.3,0,Thursday
1711576890,2024-03-28 05:01:30.001,0,14,30.5,36.7,0,Thursday
1711583190,2024-03-28 06:46:30.000,22,126,157.9,558.5,26,Thursday
1711586790,2024-03-28 07:46:30.139,44,381,284.2,1654.4,47,Thursday
1711587690,2024-03-28 08:01:30.000,46,393,290.4,1710.9,48,Thursday
1711591290,2024-03-28 09:01:30.000,43,312,242.1,1398.3,40,Thursday
1711597590,2024-03-28 10:46:30.000,47,445,369.5,2161.2,35,Thursday
1711601190,2024-03-28 11:46:30.000,52,535,450.9,2723.6,36,Thursday
1711602090,2024-03-28 12:01:30.000,55,500,448.4,2620.6,36,Thursday
1711608390,2024-03-28 13:46:30.001,62,562,500.6,2672.1,34,Thursday
1711611990,2024-03-28 14:46:30.001,72,715,592.0,3984.9,37,Thursday
1711615590,2024-03-28 15:46:30.000,82,922,723.3,5076.3,44,Thursday
1711619190,2024-03-28 16:46:30.000,100,1450,1053.7,8704.2,65,Thursday
1711621890,2024-03-28 17:31:30.000,109,1687,1152.7,10357.5,80,Thursday
1711623690,2024-03-28 18:01:30.000,101,1187,860.0,7466.7,73,Thursday
1711629090,2024-03-28 19:31:30.000,63,591,468.8,2905.9,32,Thursday
1711630890,2024-03-28 20:01:30.000,64,647,488.0,3144.6,29,Thursday
1711634490,2024-03-28 21:01:30.000,63,610,454.6,3499.7,24,Thursday
1711638090,2024-03-28 22:01:30.000,59,492,388.5,2678.8,17,Thursday
1711641690,2024-03-28 23:01:30.000,47,310,226.1,1557.0,7,Thursday
