timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711327590,2024-03-25 07:46:30.000,63,607,439.4,3143.0,60,Monday
1711328490,2024-03-25 08:01:30.000,66,587,420.7,3094.5,61,Monday
1711332090,2024-03-25 09:01:30.000,56,359,285.5,1841.8,48,Monday
1711338390,2024-03-25 10:46:30.000,47,356,302.1,1613.1,35,Monday
1711340190,2024-03-25 11:16:30.000,48,362,329.4,1646.8,35,Monday
1711342890,2024-03-25 12:01:30.000,47,428,338.9,1888.4,34,Monday
1711349190,2024-03-25 13:46:30.000,42,426,269.9,1870.3,31,Monday
1711350090,2024-03-25 14:01:30.000,42,427,263.2,1955.6,35,Monday
1711356390,2024-03-25 15:46:30.000,50,475,364.2,2224.4,47,Monday
1711359990,2024-03-25 16:46:30.001,71,972,661.4,4883.4,68,Monday
1711362690,2024-03-25 17:31:30.001,88,1307,852.7,7007.6,83,Monday
1711364490,2024-03-25 18:01:30.000,82,1008,650.1,5217.1,76,Monday
1711368090,2024-03-25 19:01:30.000,36,134,121.8,539.6,31,Monday
1711371690,2024-03-25 20:01:30.000,33,172,133.2,635.9,22,Monday
1711375290,2024-03-25 21:01:30.001,30,129,94.1,597.4,16,Monday
1711378890,2024-03-25 22:01:30.001,25,99,84.4,449.6,10,Monday
1711382490,2024-03-25 23:01:30.000,11,55,62.0,236.0,3,Monday
