timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1710964890,2024-03-21 03:01:30.000,0,15,45.0,78.6,0,Thursday
1710968490,2024-03-21 04:01:30.000,0,11,38.4,17.2,0,Thursday
1710972090,2024-03-21 05:01:30.001,0,13,48.1,24.2,2,Thursday
1710978390,2024-03-21 06:46:30.000,26,181,172.3,773.9,38,Thursday
1710981990,2024-03-21 07:46:30.000,47,445,292.5,1901.1,62,Thursday
1710982890,2024-03-21 08:01:30.000,48,421,289.0,1830.6,64,Thursday
1710986490,2024-03-21 09:01:30.000,40,264,197.0,1115.3,57,Thursday
1710992790,2024-03-21 10:46:30.000,35,267,215.5,1119.4,54,Thursday
1710994590,2024-03-21 11:16:30.001,36,310,242.3,1368.8,51,Thursday
1710997290,2024-03-21 12:01:30.000,36,302,239.8,1334.3,50,Thursday
1711003590,2024-03-21 13:46:30.000,34,263,184.7,1023.5,45,Thursday
1711007190,2024-03-21 14:46:30.000,37,317,212.2,1241.9,44,Thursday
1711010790,2024-03-21 15:46:30.000,44,385,282.8,1541.6,55,Thursday
1711014390,2024-03-21 16:46:30.000,65,794,551.0,3738.7,76,Thursday
1711017990,2024-03-21 17:46:30.000,80,1092,676.7,5710.2,90,Thursday
1711018890,2024-03-21 18:01:30.001,73,777,479.1,3956.7,76,Thursday
1711022490,2024-03-21 19:01:30.000,32,112,99.9,420.5,32,Thursday
1711026090,2024-03-21 20:01:30.000,29,113,76.7,391.8,22,Thursday
1711029690,2024-03-21 21:01:30.000,24,96,80.8,465.1,15,Thursday
1711033290,2024-03-21 22:01:30.000,17,71,67.3,342.0,8,Thursday
1711036890,2024-03-21 23:01:30.000,7,46,56.7,279.1,0,Thursday
