timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711076490,2024-03-22 10:01:30.000,58,409,380.9,2617.4,38,Friday
1711080090,2024-03-22 11:01:30.000,56,432,418.3,2831.7,38,Friday
1711083690,2024-03-22 12:01:30.000,48,329,356.5,2156.9,34,Friday
1711089990,2024-03-22 13:46:30.001,47,458,373.7,2383.8,35,Friday
1711093590,2024-03-22 14:46:30.000,54,498,415.6,2599.6,41,Friday
1711097190,2024-03-22 15:46:30.001,56,505,432.3,2565.7,47,Friday
1711100790,2024-03-22 16:46:30.000,80,1096,807.3,5863.0,79,Friday
1711103490,2024-03-22 17:31:30.000,97,1376,965.3,7931.6,93,Friday
1711105290,2024-03-22 18:01:30.000,87,1005,729.9,5596.1,88,Friday
1711111590,2024-03-22 19:46:30.000,43,270,241.7,1601.8,47,Friday
1711115190,2024-03-22 20:46:30.000,45,301,283.0,1758.7,34,Friday
1711116090,2024-03-22 21:01:30.034,44,287,275.8,1785.4,24,Friday
1711119690,2024-03-22 22:01:30.001,37,196,190.3,1069.9,20,Friday
1711123290,2024-03-22 23:01:30.000,23,110,115.0,514.6,9,Friday
