timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711731690,2024-03-30 00:01:30.000,7,33,25.3,151.7,3,Saturday
1711735290,2024-03-30 01:01:30.000,0,10,6.0,18.0,0,Saturday
1711738890,2024-03-30 02:01:30.000,0,7,12.3,10.2,0,Saturday
1711742490,2024-03-30 03:01:30.001,0,8,20.6,14.2,0,Saturday
1711746090,2024-03-30 04:01:30.000,0,5,14.2,9.5,0,Saturday
1711749690,2024-03-30 05:01:30.000,0,9,12.4,10.4,0,Saturday
1711753290,2024-03-30 06:01:30.000,0,7,7.0,16.1,0,Saturday
1711756890,2024-03-30 07:01:30.000,0,17,10.8,55.9,0,Saturday
1711763190,2024-03-30 08:46:30.000,3,28,12.2,98.3,4,Saturday
1711766790,2024-03-30 09:46:30.000,12,137,75.9,590.3,13,Saturday
1711770390,2024-03-30 10:46:30.000,24,328,200.3,1590.4,23,Saturday
1711773990,2024-03-30 11:46:30.000,32,427,278.9,2226.2,30,Saturday
1711775790,2024-03-30 12:16:30.000,35,379,239.0,1846.9,31,Saturday
1711781190,2024-03-30 13:46:30.000,42,533,345.8,2527.9,36,Saturday
1711784790,2024-03-30 14:46:30.000,48,669,431.3,3395.8,44,Saturday
1711786590,2024-03-30 15:16:30.000,51,693,480.9,3833.0,48,Saturday
1711791990,2024-03-30 16:46:30.000,71,1317,986.3,8243.4,64,Saturday
1711793790,2024-03-30 17:16:30.000,84,1350,1027.7,8802.8,72,Saturday
1711796492,2024-03-30 18:01:32.900,67,731,496.5,4507.4,60,Saturday
1711802790,2024-03-30 19:46:30.000,33,292,155.2,1295.8,29,Saturday
1711806390,2024-03-30 20:46:30.000,38,410,228.9,1925.6,32,Saturday
1711809990,2024-03-30 21:46:30.000,43,484,305.8,2506.2,38,Saturday
1711810890,2024-03-30 22:01:30.000,42,444,284.5,2331.4,40,Saturday
1711814490,2024-03-30 23:01:30.000,34,240,155.2,1236.5,34,Saturday
